prompt,response
"65,Vh61euy0nDocJST/CrxONfgv/AHQebcBWDPk0RW4f/0=,y43ZOuo=,c34fd0a3-cc55-4487-af61-e78e835880ad,2010-02-16 00:00:00","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'passwordhash': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'passwordsalt': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43853,8,2011-07-01 00:00:00,2011-07-13 00:00:00,2011-07-08 00:00:00,5,False,PO18270155899,10-4020-000011,29813,282,6,446,446,5,12279,85313Vi63488,407,26354.922,2530.0725,790.6477,29675.6422,,c61de9af-0c09-4894-b6ea-e27c6652c354,2011-07-08 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'revisionnumber': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'orderdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'duedate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'shipdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'status': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'onlineorderflag': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'purchaseordernumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'accountnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'customerid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'salespersonid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'billtoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shiptoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shipmethodid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardapprovalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'currencyrateid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'subtotal': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'taxamt': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'freight': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'totaldue': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'comment': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"87,fad9dea3-d505-42b6-8dc3-c0b06ebea73e,2017-12-13 13:20:28.633000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"31,4,4,258,1648,5,2012-01-08 00:00:00,2012-01-17 00:00:00,142.4115,11.3929,3.5603,2012-01-17 00:00:00","{'purchaseorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'revisionnumber': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'status': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'employeeid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'vendorid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shipmethodid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'orderdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'shipdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'subtotal': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'taxamt': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'freight': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"134,ee34da35-f687-46e2-8257-d2241465c161,2017-12-13 13:20:30.820000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43832,5,2011-06-28 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"154,ColonialVoice,77774677693254,8,2008,2013-09-16 00:00:00","{'creditcardid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'cardtype': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'cardnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'expmonth': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'expyear': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"192,4,4,250,1600,1,2012-06-22 00:00:00,2012-07-01 00:00:00,1276.275,102.102,31.9069,2012-07-01 00:00:00","{'purchaseorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'revisionnumber': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'status': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'employeeid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'vendorid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shipmethodid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'orderdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'shipdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'subtotal': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'taxamt': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'freight': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"21,30,1,7,Massachusetts State Sales Tax,207c7024-85fe-42cb-bf74-9fe88e2f4e1b,2008-04-30 00:00:00","{'salestaxrateid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'stateprovinceid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'taxtype': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'taxrate': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"89,413-555-0124,1,2010-01-25 00:00:00","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'phonenumber': {'type': 'character varying', 'constraints': ['PRIMARY KEY']}, 'phonenumbertypeid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43715,5,2011-06-04 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"8,BY ,DE,False,Bayern,8,d54e5000-a0da-46d1-86b0-b8fe16c9f781,2014-02-08 10:17:21.587000","{'stateprovinceid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'stateprovincecode': {'type': 'character', 'constraints': ['NO CONSTRAINT']}, 'countryregioncode': {'type': 'character varying', 'constraints': ['FOREIGN KEY']}, 'isonlystateprovinceflag': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"89,3074 Arbor Drive,,Carnation,79,98014,<memory at 0x000001E010C01240>,bf8e2fbe-1bc0-4643-9764-2903c86438ec,2008-12-14 00:00:00","{'addressid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'addressline1': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'addressline2': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'city': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'stateprovinceid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'postalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'spatiallocation': {'type': 'bytea', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43744,5,2011-06-11 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43812,5,2011-06-26 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"85,994,224,4,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,14,2011-06-19 00:00:00","{'workorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'productid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'orderqty': {'type': 'integer', 'constraints': ['NO CONSTRAINT']}, 'scrappedqty': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'startdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'enddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'duedate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'scrapreasonid': {'type': 'smallint', 'constraints': ['FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"416,Teen Discount Store,288,'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1994</YearOpened><Specialty>Mountain</Specialty><SquareFeet>18000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>',a22c02a3-37c8-402a-932f-bc8dd75bea87,2014-09-12 11:15:07.497000","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'salespersonid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'demographics': {'type': 'xml', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"643,18460,2013-07-31 00:00:00","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'creditcardid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43718,5,2011-06-05 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"183,b5a475cd-800d-4a33-8450-ff1fe410cf80,2017-12-13 13:20:32.993000","{'businessentityid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"2,On Promotion,Promotion,2008-04-30 00:00:00","{'salesreasonid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'reasontype': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43680,198,FF1F-4DD0-98,1,761,1,419.4589,0,e02e4bf2-6f80-49a6-98e9-d7ef636bf41d,2011-05-31 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'salesorderdetailid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'carriertrackingnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'orderqty': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'productid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'specialofferid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'unitprice': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'unitpricediscount': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"364,Leading Bike Distributors,279,'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Road</Specialty><SquareFeet>18000</SquareFeet><Brands>3</Brands><Internet>T1</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>',0c0b95fd-1934-4dd9-bc1c-8c1e2bf07ebc,2014-09-12 11:15:07.497000","{'businessentityid': {'type': 'integer', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'salespersonid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'demographics': {'type': 'xml', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"82,Distinguish,55552580794715,11,2006,2012-05-30 00:00:00","{'creditcardid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'cardtype': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'cardnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'expmonth': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'expyear': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"21,48,2011-12-29 00:00:00,550,351,5.775,550.00,0.00,2011-12-22 00:00:00","{'purchaseorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'purchaseorderdetailid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'duedate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'orderqty': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'productid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'unitprice': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'receivedqty': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'rejectedqty': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"KR,KRW,2014-02-08 10:17:21.510000","{'countryregioncode': {'type': 'character varying', 'constraints': ['PRIMARY KEY', 'FOREIGN KEY']}, 'currencycode': {'type': 'character', 'constraints': ['FOREIGN KEY', 'PRIMARY KEY']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"43742,8,2011-06-11 00:00:00,2011-06-23 00:00:00,2011-06-18 00:00:00,5,True,,10-4030-013576,13576,,10,20966,20966,1,17254,932138Vi89574,152,3578.27,286.2616,89.4568,3953.9884,,7b65fbc1-e19b-44ff-b5b3-4999c9f300b6,2011-06-18 00:00:00","{'salesorderid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'revisionnumber': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'orderdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'duedate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'shipdate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}, 'status': {'type': 'smallint', 'constraints': ['NO CONSTRAINT']}, 'onlineorderflag': {'type': 'boolean', 'constraints': ['NO CONSTRAINT']}, 'purchaseordernumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'accountnumber': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'customerid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'salespersonid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'billtoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shiptoaddressid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'shipmethodid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'creditcardapprovalcode': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'currencyrateid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'subtotal': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'taxamt': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'freight': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'totaldue': {'type': 'numeric', 'constraints': ['NO CONSTRAINT']}, 'comment': {'type': 'character varying', 'constraints': ['NO CONSTRAINT']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
"196,,1302,10,5f0eb2d3-4691-4f71-8e9b-a3eacfa4a1d5,2014-09-12 11:15:07.263000","{'customerid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'personid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'storeid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'territoryid': {'type': 'integer', 'constraints': ['FOREIGN KEY']}, 'rowguid': {'type': 'uuid', 'constraints': ['NO CONSTRAINT']}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': ['NO CONSTRAINT']}}"
