prompt,response
"DZ ,Dozen,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"EA ,Each,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"FT3,Cubic foot,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"G  ,Gram,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"GAL,Gallon,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"IN ,Inch,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"KG ,Kilogram,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"KGV,Kilogram/cubic meter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"KM ,Kilometer,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"KT ,Kiloton,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"L  ,Liter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"LB ,US pound,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"M  ,Meter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"M2 ,Square meter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"M3 ,Cubic meter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"MG ,Milligram,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"ML ,Milliliter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"MM ,Millimeter,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"OZ ,Ounces,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"PAK,Pack,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"PAL,Pallet,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"PC ,Piece,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"PCT,Percentage,2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"PT ,'Pint, US liquid',2008-04-30 00:00:00","{'unitmeasurecode': {'type': 'character', 'constraints': ['PRIMARY KEY']}, 'name': {'type': 'character varying', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"1,6,B,5,324,d4544d7d-caf5-46b3-ab22-5718dcc26b5e,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"1,50,A,5,353,bff7dc60-96a8-43ca-81a7-d6d2ed3000a8,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"2,1,A,2,427,f407c07a-ca14-4684-a02c-608bd00c2233,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"2,6,B,1,318,ca1ff2f4-48fb-4960-8d92-3940b633e4c1,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"2,50,A,6,364,d38cfbee-6347-47b1-b033-0e278cca03e2,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"3,1,A,7,585,e18a519b-fb5e-4051-874c-58cd58436c95,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"3,6,B,9,443,3c860c96-15ff-4df4-91d7-b237ff64480f,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"3,50,A,10,324,1339e5e3-1f8e-4b82-a447-a8666a264f0c,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"4,1,A,6,512,6beaf0a0-971a-4ce1-96fe-692807d5dc00,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"4,6,B,10,422,2c82427a-63f1-4877-a1f6-a27b4d201eb6,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"4,50,A,11,388,fd912e69-efa2-4ab7-82a4-03f5101af11c,2014-08-08 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"316,5,A,11,532,1ee3dbd3-2a7e-47dc-af99-1b585575efb9,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"316,10,B,1,388,cb2a24d7-9b70-4140-8836-9eb7592621d3,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"316,50,B,8,441,36b375a3-022a-45bf-b425-dbffaac3145a,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"317,1,C,1,283,c04fc1cf-1d2b-4480-ba13-64c6ef780f4b,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"317,5,A,1,158,83332a73-48a9-401d-95f4-385c944d716f,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"317,50,A,21,152,4072c90c-a867-4f64-882f-ec45ada1b79c,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"318,1,C,2,136,f287efd3-ccc5-4344-9f4a-e588bbf29801,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"318,5,A,2,171,b62232e8-90b5-4da1-bfe1-453aa1917efc,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"318,50,A,22,132,d758c516-d9bf-4aa6-8e57-f5bd6d568f97,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"319,1,C,3,308,7367821f-bb8b-4102-86ed-a7fb7054f8e1,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"319,5,A,3,184,bfb760ac-0767-4f76-8670-49488d0f731d,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"319,50,A,23,305,febbcc76-2764-48a3-a086-77d1e883137c,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"320,1,C,4,481,bd134ecd-d4da-406c-a7ce-7ec40f9bcf34,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"320,5,A,4,372,deedba07-171b-4038-88a5-a57166e8f446,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"320,50,A,24,283,4fef28b3-6652-4d3a-999b-00784d401e42,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"321,1,C,6,569,afdbcf09-10f8-4f3c-86e1-379310ffbfe3,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"321,5,A,6,540,65fc4167-6a09-46c9-a262-632b945b2fbb,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"321,50,A,26,641,b291ee86-cb6e-4d74-b47d-b8b0794ca9c4,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"322,1,C,7,622,7726d791-a784-4754-b144-bb25c9e2f38a,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"322,5,A,7,587,04da1bb9-9625-4e71-b861-93f64a3a53dc,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"322,50,A,27,475,02d51ed0-af15-44e9-a355-86433710b0c0,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"323,1,C,35,603,f7863985-c001-44d5-a939-554c67df203a,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"323,5,A,12,568,bd637bc5-eb67-4424-8f92-dca208276e6f,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"323,50,A,28,513,968dae62-ea98-49fe-b190-d1ec7b9e9f0c,2014-08-09 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
"324,1,C,36,585,c6e3bcde-5f39-40ef-b253-ad2b018ab1cc,2008-03-31 00:00:00","{'productid': {'type': 'integer', 'constraints': ['PRIMARY KEY']}, 'locationid': {'type': 'smallint', 'constraints': ['PRIMARY KEY']}, 'shelf': {'type': 'character varying', 'constraints': []}, 'bin': {'type': 'smallint', 'constraints': ['CHECK']}, 'quantity': {'type': 'smallint', 'constraints': []}, 'rowguid': {'type': 'uuid', 'constraints': []}, 'modifieddate': {'type': 'timestamp without time zone', 'constraints': []}}"
