Prompt,Field,Type,Constraint
1ZTIwEnX3wcxbY2rY+eqUYLFGZeXCh0OcyvQ65AO5bo=,passwordhash,character varying,None
EWSTlJg=,passwordsalt,character varying,None
1e9fe750-04b7-4234-a484-29b5da54c914,rowguid,uuid,None
2008-12-29 00:00:00,modifieddate,timestamp without time zone,None
59,purchaseorderid,integer,PRIMARY KEY
134,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-07 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
490,productid,integer,None
12.3585,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-01-31 00:00:00,modifieddate,timestamp without time zone,None
AT,countryregioncode,character varying,PRIMARY KEY
Austria,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
345,productid,integer,PRIMARY KEY
1622,businessentityid,integer,PRIMARY KEY
19,averageleadtime,integer,CHECK
41.21,standardprice,numeric,CHECK
43.2705,lastreceiptcost,numeric,CHECK
2011-08-28 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-28 00:00:00,modifieddate,timestamp without time zone,None
602,businessentityid,integer,PRIMARY KEY
Uttermost Bike Shop,name,character varying,None
289,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>2000</YearOpened><Specialty>Road</Specialty><SquareFeet>20000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>19</NumberEmployees></StoreSurvey>',demographics,xml,None
24f1c5f8-093a-426c-87ce-8fa9af9fac33,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
43665,salesorderid,integer,PRIMARY KEY
64,salesorderdetailid,integer,PRIMARY KEY
19F0-4638-8E,carriertrackingnumber,character varying,None
2,orderqty,smallint,CHECK
715,productid,integer,None
1,specialofferid,integer,None
28.8404,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
3cfb91f3-98ab-46d1-8024-de47b3c4dae2,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
289,businessentityid,integer,PRIMARY KEY
2013-08-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
1419000,salesquota,numeric,CHECK
496e25d7-21a1-4185-9fbc-2db261c8de25,rowguid,uuid,None
2013-07-16 00:00:00,modifieddate,timestamp without time zone,None
537,businessentityid,integer,PRIMARY KEY
17164,creditcardid,integer,PRIMARY KEY
2013-05-30 00:00:00,modifieddate,timestamp without time zone,None
43734,salesorderid,integer,PRIMARY KEY
5,salesreasonid,integer,PRIMARY KEY
2011-06-09 00:00:00,modifieddate,timestamp without time zone,None
748,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
623.8403,standardcost,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
116,businessentityid,integer,PRIMARY KEY
b13bbc90-8df1-4a77-af7e-a0d2155e81f3,rowguid,uuid,None
2017-12-13 13:20:29.930000,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
730,productid,integer,PRIMARY KEY
4a12bd85-dc0a-4ca4-a30f-d1a68b8c5e0f,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
851,productid,integer,PRIMARY KEY
da8d3484-fe54-4efc-871c-41bbcd9836d9,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
446,productid,integer,PRIMARY KEY
Lock Nut 23,name,character varying,None
LN-3416,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
afa814c8-8ec8-49db-9fee-a291197a8fe9,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
15,addressid,integer,PRIMARY KEY
4912 La Vuelta,addressline1,character varying,None
,addressline2,character varying,None
Bothell,city,character varying,None
79,stateprovinceid,integer,None
98011,postalcode,character varying,None
<memory at 0x000001E01095DFC0>,spatiallocation,bytea,None
f397e64a-a9d8-4e57-9e7c-b10928acadd6,rowguid,uuid,None
2013-11-18 00:00:00,modifieddate,timestamp without time zone,None
439,businessentityid,integer,PRIMARY KEY
7083,creditcardid,integer,PRIMARY KEY
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
330,productid,integer,PRIMARY KEY
50,locationid,smallint,PRIMARY KEY
A,shelf,character varying,None
16,bin,smallint,CHECK
457,quantity,smallint,None
e6d96af6-7e4c-46f7-9a2c-5e94cf403888,rowguid,uuid,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
476,businessentityid,integer,PRIMARY KEY
Industrial Supplies,name,character varying,None
279,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1995</YearOpened><Specialty>Touring</Specialty><SquareFeet>73000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>79</NumberEmployees></StoreSurvey>',demographics,xml,None
706a4161-4e67-41e1-a31b-2be9fbf864f3,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
43805,salesorderid,integer,PRIMARY KEY
8,revisionnumber,smallint,None
2011-06-24 00:00:00,orderdate,timestamp without time zone,CHECK
2011-07-06 00:00:00,duedate,timestamp without time zone,CHECK
2011-07-01 00:00:00,shipdate,timestamp without time zone,CHECK
5,status,smallint,CHECK
True,onlineorderflag,boolean,None
,purchaseordernumber,character varying,None
10-4030-014510,accountnumber,character varying,None
14510,customerid,integer,None
,salespersonid,integer,None
1,territoryid,integer,None
26084,billtoaddressid,integer,None
26084,shiptoaddressid,integer,None
1,shipmethodid,integer,None
7010,creditcardid,integer,None
433792Vi36450,creditcardapprovalcode,character varying,None
,currencyrateid,integer,None
699.0982,subtotal,numeric,CHECK
55.9279,taxamt,numeric,CHECK
17.4775,freight,numeric,CHECK
772.5036,totaldue,numeric,None
,comment,character varying,None
72c04df5-3142-48ed-acc0-ccb70a73d834,rowguid,uuid,None
2011-07-01 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
826,productid,integer,PRIMARY KEY
8da559a4-3be0-429b-97cb-46ba98b6b1a2,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
997,productid,integer,PRIMARY KEY
2013-12-29 13:51:58.103000,modifieddate,timestamp without time zone,None
/1/1/,documentnode,character varying,PRIMARY KEY
131,businessentityid,integer,PRIMARY KEY
117,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
de4e0e85-ccfc-4951-9067-ffad6130ae41,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
82,workorderid,integer,PRIMARY KEY
945,productid,integer,None
460,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
2107,billofmaterialsid,integer,PRIMARY KEY
,productassemblyid,integer,CHECK
957,componentid,integer,CHECK
2010-07-08 00:00:00,startdate,timestamp without time zone,CHECK
,enddate,timestamp without time zone,CHECK
EA ,unitmeasurecode,character,None
0,bomlevel,smallint,CHECK
1.00,perassemblyqty,numeric,CHECK
2010-06-24 00:00:00,modifieddate,timestamp without time zone,None
157,businessentityid,integer,PRIMARY KEY
2009-02-03 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
14,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
374,productid,integer,PRIMARY KEY
6,locationid,smallint,PRIMARY KEY
R,shelf,character varying,None
16,bin,smallint,CHECK
350,quantity,smallint,None
8a8f612f-a214-4aa0-ae77-f0ab1518c29d,rowguid,uuid,None
2014-08-08 00:00:00,modifieddate,timestamp without time zone,None
NPR,currencycode,character,PRIMARY KEY
Nepalese Rupee,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
385,productid,integer,PRIMARY KEY
Hex Nut 13,name,character varying,None
HN-3824,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
8f0902d0-274d-4a4b-8fde-e37f53b2ab29,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
373,productid,integer,PRIMARY KEY
1,locationid,smallint,PRIMARY KEY
C,shelf,character varying,None
22,bin,smallint,CHECK
284,quantity,smallint,None
e95fdb19-5e04-4f6f-b4ac-bec51f93004c,rowguid,uuid,None
2014-08-08 00:00:00,modifieddate,timestamp without time zone,None
3,productid,integer,PRIMARY KEY
1,locationid,smallint,PRIMARY KEY
A,shelf,character varying,None
7,bin,smallint,CHECK
585,quantity,smallint,None
e18a519b-fb5e-4051-874c-58cd58436c95,rowguid,uuid,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
708,productid,integer,PRIMARY KEY
2013-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
,enddate,timestamp without time zone,CHECK
13.0863,standardcost,numeric,CHECK
2013-05-16 00:00:00,modifieddate,timestamp without time zone,None
100,businessentityid,integer,PRIMARY KEY
2009-01-12 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
11,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
43738,salesorderid,integer,PRIMARY KEY
9,salesreasonid,integer,PRIMARY KEY
2011-06-10 00:00:00,modifieddate,timestamp without time zone,None
358,productid,integer,PRIMARY KEY
HL Grip Tape,name,character varying,None
GT-2908,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
800,safetystocklevel,smallint,CHECK
600,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
8e5b2bf7-81dd-4454-b75e-d9ae2a6fbd26,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
93,businessentityid,integer,PRIMARY KEY
778552911,nationalidnumber,character varying,None
adventure-works\kok-ho0,loginid,character varying,None
Production Supervisor - WC50,jobtitle,character varying,None
1980-04-28,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2008-12-27,hiredate,date,CHECK
False,salariedflag,boolean,None
78,vacationhours,smallint,CHECK
59,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
57fb2c0f-b105-49f0-967a-88f3d743cb3f,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/9/,organizationnode,character varying,None
359,productid,integer,PRIMARY KEY
Thin-Jam Hex Nut 9,name,character varying,None
HJ-1213,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
a63aff3c-4143-4016-bc99-d3f80ec1ade5,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
279,businessentityid,integer,PRIMARY KEY
2012-11-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
571000,salesquota,numeric,CHECK
e7f639ac-53c3-4b66-8ecd-5f71e7cacb99,rowguid,uuid,None
2012-10-16 00:00:00,modifieddate,timestamp without time zone,None
324,productid,integer,PRIMARY KEY
Chain Stays,name,character varying,None
CS-2812,productnumber,character varying,None
True,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
1,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
fe0678ed-aef2-4c58-a450-8151cc24ddd8,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
19,purchaseorderid,integer,PRIMARY KEY
44,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-29 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
910,productid,integer,None
40.9395,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-22 00:00:00,modifieddate,timestamp without time zone,None
69,businessentityid,integer,PRIMARY KEY
712-555-0170,phonenumber,character varying,PRIMARY KEY
3,phonenumbertypeid,integer,PRIMARY KEY
2009-02-08 00:00:00,modifieddate,timestamp without time zone,None
35,workorderid,integer,PRIMARY KEY
775,productid,integer,None
22,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
157,workorderid,integer,PRIMARY KEY
807,productid,integer,PRIMARY KEY
6,operationsequence,smallint,PRIMARY KEY
50,locationid,smallint,None
2011-06-05 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-16 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-05 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-23 00:00:00,actualenddate,timestamp without time zone,CHECK
3.0000,actualresourcehrs,numeric,CHECK
36.75,plannedcost,numeric,CHECK
36.75,actualcost,numeric,CHECK
2011-06-23 00:00:00,modifieddate,timestamp without time zone,None
PY,countryregioncode,character varying,PRIMARY KEY
PYG,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
145,currencyrateid,integer,PRIMARY KEY
2011-06-11 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
AUD,tocurrencycode,character,None
1.5701,averagerate,numeric,None
1.5694,endofdayrate,numeric,None
2011-06-11 00:00:00,modifieddate,timestamp without time zone,None
CBM,unitmeasurecode,character,PRIMARY KEY
Cubic meters,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
BE,countryregioncode,character varying,PRIMARY KEY
EUR,currencycode,character,PRIMARY KEY
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
MT,countryregioncode,character varying,PRIMARY KEY
MTL,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
22,businessentityid,integer,PRIMARY KEY
95958330,nationalidnumber,character varying,None
adventure-works\sariya0,loginid,character varying,None
Marketing Specialist,jobtitle,character varying,None
1987-05-21,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2008-12-12,hiredate,date,CHECK
False,salariedflag,boolean,None
45,vacationhours,smallint,CHECK
42,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
af21f1b7-0691-48ad-b325-b8f2d7b2268a,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/2/6/,organizationnode,character varying,None
10,contacttypeid,integer,PRIMARY KEY
Order Administrator,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
5,addresstypeid,integer,PRIMARY KEY
Shipping,name,character varying,None
b29da3f8-19a3-47da-9daa-15c84f4a83a5,rowguid,uuid,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
12,productmodelid,integer,PRIMARY KEY
1706,productdescriptionid,integer,PRIMARY KEY
th    ,cultureid,character,PRIMARY KEY
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
65,workorderid,integer,PRIMARY KEY
747,productid,integer,PRIMARY KEY
3,operationsequence,smallint,PRIMARY KEY
30,locationid,smallint,None
2011-06-03 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-14 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-03 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,actualenddate,timestamp without time zone,CHECK
1.0000,actualresourcehrs,numeric,CHECK
14.5,plannedcost,numeric,CHECK
14.5,actualcost,numeric,CHECK
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
318,businessentityid,integer,PRIMARY KEY
Great Bikes ,name,character varying,None
283,salespersonid,integer,None
